
=========================================================================
Statistic      N     Mean    St. Dev.   Min   Pctl(25) Pctl(75)    Max   
-------------------------------------------------------------------------
id           1,643 4,867.640 860.273   3,623   4,168   5,477.5    9,226  
SD100        1,643   1.503    0.500      1       1        2         2    
SD200        1,643  48.359    16.878    19       35       62       93    
SD300        1,643   7.301    4.439      1       2        10       16    
SD400        1,643   4.269    1.271      2       3        6         7    
SD500_1      1,643   0.042    0.201      0       0        0         1    
SD500_2      1,643   0.009    0.095      0       0        0         1    
SD500_3      1,643   0.505    0.500      0       0        1         1    
SD500_4      1,643   0.111    0.314      0       0        0         1    
SD500_5      1,643   0.054    0.226      0       0        0         1    
SD500_6      1,643   0.058    0.233      0       0        0         1    
SD500_7      1,643   0.124    0.329      0       0        0         1    
SD500_8      1,643   0.013    0.115      0       0        0         1    
SD500_9      1,643   0.156    0.363      0       0        0         1    
SD600_1      1,643   0.944    0.230      0       1        1         1    
SD600_2      1,643   0.037    0.189      0       0        0         1    
SD600_3      1,643   0.028    0.165      0       0        0         1    
SD700        1,637   1.831    0.375    1.000   2.000    2.000     2.000  
SDS100_v1    1,643   1.761    0.922      0       1        2         4    
SDS200_v1    1,643   1.920    1.042      0       1        3         4    
SDS300_v1    1,643   2.421    1.184      0       1        4         4    
SDS400_v1    1,643   2.203    1.102      0       1        3         4    
SDS500_v1    1,643   2.398    1.154      0       1        3         4    
SDS600_v1    1,643   2.666    1.182      0       2        4         4    
SDS100_v2    1,643   1.780    0.979      0       1        2         4    
SDS200_v2    1,643   1.893    1.057      0       1        3         4    
SDS300_v2    1,643   2.327    1.186      0       1        3         4    
SDS400_v2    1,643   2.158    1.126      0       1        3         4    
SDS500_v2    1,643   2.318    1.167      0       1        3         4    
SDS600_v2    1,643   2.540    1.200      0       1        4         4    
SDS100_v3    1,643   1.802    0.984      0       1       2.5        4    
SDS200_v3    1,643   1.875    1.045      0       1        3         4    
SDS300_v3    1,643   2.327    1.177      0       1        3         4    
SDS400_v3    1,643   2.189    1.131      0       1        3         4    
SDS500_v3    1,643   2.324    1.154      0       1        3         4    
SDS600_v3    1,643   2.534    1.202      0       1        4         4    
SDS100_v4    1,643   1.837    1.029      0       1        3         4    
SDS200_v4    1,643   1.910    1.079      0       1        3         4    
SDS300_v4    1,643   2.360    1.184      0       1        3         4    
SDS400_v4    1,643   2.237    1.137      0       1        3         4    
SDS500_v4    1,643   2.356    1.151      0       1        3         4    
SDS600_v4    1,643   2.551    1.192      0       1        4         4    
EC19100      1,640   2.309    0.974    1.000   2.000    3.000     4.000  
EC19200      1,640   2.600    0.880    1.000   2.000    3.000     4.000  
EC19300      1,639   2.845    0.899    1.000   2.000    4.000     4.000  
EC19400      1,639   2.874    0.898    1.000   2.000    4.000     4.000  
MC19100_1    1,642   0.422    0.494    0.000   0.000    1.000     1.000  
MC19100_2    1,642   0.582    0.493    0.000   0.000    1.000     1.000  
MC19100_3    1,642   0.536    0.499    0.000   0.000    1.000     1.000  
MC19100_4    1,642   0.605    0.489    0.000   0.000    1.000     1.000  
MC19100_5    1,642   0.677    0.468    0.000   0.000    1.000     1.000  
MC19100_6    1,642   0.643    0.479    0.000   0.000    1.000     1.000  
MC19100_7    1,642   0.524    0.500    0.000   0.000    1.000     1.000  
MC19100_8    1,642   0.815    0.388    0.000   1.000    1.000     1.000  
MC19100_9    1,642   0.098    0.297    0.000   0.000    0.000     1.000  
MC19200      1,641   3.455    0.701    1.000   3.000    4.000     4.000  
IC19100      1,642   1.910    0.286    1.000   2.000    2.000     2.000  
IC19200      1,641   2.345    0.899    1.000   1.000    3.000     3.000  
IC19300      1,642  -26.200   38.520  -77.000 -77.000   4.000     4.000  
PE100        1,635   5.716    1.917    1.000   5.000    6.000    11.000  
completed    1,643   0.978    0.146      0       1        1         1    
duration     1,642  641.634  423.360  -1.000  389.000  786.750  3,839.000
gen_alter    1,643   1.971    0.758      1       1        3         3    
gen_bund     1,643   0.973    0.163      0       1        1         1    
gen_schule   1,639   1.434    0.568    1.000   1.000    2.000     3.000  
gen_beruf    1,643   4.639    2.403      1       3        7         9    
gen_staat    1,627   1.132    0.572    1.000   1.000    1.000     6.000  
gen_herkunft 1,624   1.186    0.389    1.000   1.000    1.000     2.000  
gen_impfung  1,640   1.200    0.400    1.000   1.000    1.000     2.000  
gen_politik  1,635   1.914    0.591    1.000   2.000    2.000     3.000  
sex_v1       1,643   0.481    0.500      0       0        1         1    
ethnie_v1    1,643   1.979    0.813      1       1        3         3    
alter_v1     1,643  42.808    17.366    22       22       64       64    
beruf_v1     1,643   1.971    0.813      1       1        3         3    
essential_v1 1,643   0.684    0.465      0       0        1         1    
infektion_v1 1,643   2.041    0.829      1       1        3         3    
sex_v2       1,643   0.510    0.500      0       0        1         1    
ethnie_v2    1,643   1.999    0.806      1       1        3         3    
alter_v2     1,643  43.396    17.176    22       22       64       64    
beruf_v2     1,643   2.005    0.813      1       1        3         3    
essential_v2 1,643   0.667    0.471      0       0        1         1    
infektion_v2 1,643   2.009    0.824      1       1        3         3    
sex_v3       1,643   0.477    0.500      0       0        1         1    
ethnie_v3    1,643   2.010    0.811      1       1        3         3    
alter_v3     1,643  43.038    17.086    22       22       64       64    
beruf_v3     1,643   2.029    0.821      1       1        3         3    
essential_v3 1,643   0.649    0.477      0       0        1         1    
infektion_v3 1,643   2.018    0.817      1       1        3         3    
sex_v4       1,643   0.496    0.500      0       0        1         1    
ethnie_v4    1,643   2.009    0.818      1       1        3         3    
alter_v4     1,643  42.642    17.231    22       22       64       64    
beruf_v4     1,643   2.009    0.827      1       1        3         3    
essential_v4 1,643   0.654    0.476      0       0        1         1    
infektion_v4 1,643   2.011    0.821      1       1        3         3    
-------------------------------------------------------------------------
